date,steps,week,month,day,m_name,year,label
2017-11-26,1413,2017-11-26,2017-11-01,1,11,2,
2017-11-27,3174,2017-11-26,2017-11-01,2,11,2,
2017-11-28,7134,2017-11-26,2017-11-01,3,11,2,
2017-11-29,4358,2017-11-26,2017-11-01,4,11,2,
2017-11-30,7625,2017-11-26,2017-11-01,5,11,2,
2017-12-01,5181,2017-11-26,2017-12-01,6,12,2,
2017-12-02,2847,2017-11-26,2017-12-01,7,12,2,
2017-12-03,1822,2017-12-03,2017-12-01,1,12,2,
2017-12-04,3379,2017-12-03,2017-12-01,2,12,2,
2017-12-05,6623,2017-12-03,2017-12-01,3,12,2,
2017-12-06,3752,2017-12-03,2017-12-01,4,12,2,
2017-12-07,3536,2017-12-03,2017-12-01,5,12,2,
2017-12-08,1497,2017-12-03,2017-12-01,6,12,2,
2017-12-09,9618,2017-12-03,2017-12-01,7,12,2,
2017-12-10,2748,2017-12-10,2017-12-01,1,12,2,
2017-12-11,1874,2017-12-10,2017-12-01,2,12,2,
2017-12-12,6108,2017-12-10,2017-12-01,3,12,2,
2017-12-13,3334,2017-12-10,2017-12-01,4,12,2,
2017-12-14,3422,2017-12-10,2017-12-01,5,12,2,
2017-12-15,4746,2017-12-10,2017-12-01,6,12,2,
2017-12-16,3991,2017-12-10,2017-12-01,7,12,2,
2017-12-17,3303,2017-12-17,2017-12-01,1,12,2,
2017-12-18,2761,2017-12-17,2017-12-01,2,12,2,
2017-12-19,7139,2017-12-17,2017-12-01,3,12,2,
2017-12-20,3309,2017-12-17,2017-12-01,4,12,2,
2017-12-21,2352,2017-12-17,2017-12-01,5,12,2,
2017-12-22,757,2017-12-17,2017-12-01,6,12,2,
2017-12-23,1110,2017-12-17,2017-12-01,7,12,2,
2017-12-24,1096,2017-12-24,2017-12-01,1,12,2,
2017-12-25,746,2017-12-24,2017-12-01,2,12,2,
2017-12-26,5057,2017-12-24,2017-12-01,3,12,2,
2017-12-27,4389,2017-12-24,2017-12-01,4,12,2,
2017-12-28,3103,2017-12-24,2017-12-01,5,12,2,
2017-12-29,2713,2017-12-24,2017-12-01,6,12,2,
2017-12-30,5438,2017-12-24,2017-12-01,7,12,2,
2017-12-31,3315,2017-12-31,2017-12-01,1,12,2,
2018-01-01,1326,2017-12-31,2018-01-01,2,1,2,
2018-01-02,1717,2017-12-31,2018-01-01,3,1,2,
2018-01-03,2362,2017-12-31,2018-01-01,4,1,2,
2018-01-04,63,2017-12-31,2018-01-01,5,1,2,
2018-01-05,4699,2017-12-31,2018-01-01,6,1,2,
2018-01-06,6044,2017-12-31,2018-01-01,7,1,2,
2018-01-07,2954,2018-01-07,2018-01-01,1,1,2,
2018-01-08,1889,2018-01-07,2018-01-01,2,1,2,
2018-01-09,2884,2018-01-07,2018-01-01,3,1,2,
2018-01-10,7009,2018-01-07,2018-01-01,4,1,2,
2018-01-11,5385,2018-01-07,2018-01-01,5,1,2,
2018-01-12,9020,2018-01-07,2018-01-01,6,1,2,
2018-01-13,3578,2018-01-07,2018-01-01,7,1,2,
2018-01-14,6055,2018-01-14,2018-01-01,1,1,2,
2018-01-15,3722,2018-01-14,2018-01-01,2,1,2,
2018-01-16,3849,2018-01-14,2018-01-01,3,1,2,
